numLieu;nomLieu;latitude;longitude;ville;missions;dpt;arrondissement;tpLieu;libTpLieu
1;Musée de l'Air et de l'Espace;48,9471734;2,4336658;Le Bourget;Patrimoine aéronautique, civil et militaire, français et étranger;93;;2;National
2;Musée d'Art et d'Histoire;48,9234139;2,2520804;Colombes;Histoire de la ville;92;;1;Municipal 
3;Musée d'Art et d'Histoire;48,5333300;2,6666700;Melun;Peintures, archéologie, mobilier et faïence;77;;1;Municipal 
4;Musée d'Art et d'Histoire;48,8062840;2,2347622;Meudon;Peintures de paysage, art contemporain et histoire de la ville;92;;1;Municipal 
5;Musée d'Art et d'Histoire;48,9324645;2,3564998;Saint-Denis;Archéologie médiévale, souvenirs de l'ancien Carmel et de Madame Louise de France, histoire de la Commune de Paris;93;;1;Municipal 
6;Musée d'Archéologie Nationale;48,8979045;2,0956035;Saint-Germain-en-Laye;Collections archéologiques du Paléolithique à la Gaule Romaine;78;;2;National
7;Bibliothèque-musée de l'Opéra Garnier;48,8721200;2,3317800;Paris;Costumes et documents du fonds de l'Opéra Garnier;75;9;7;Institution culturellee
8;Archives Nationales;48,8601668;2,3586211;Paris;Grands documents de l'Histoire de France;75;3;2;National
9;Château de Breteuil;48,6801810;2,0227877;Choisel;L'univers des contes de Perrault reconstitué;78;;6;Châteaux
10;Château de Fontainebleau-Musée Napoléon;48,4021166;2,6998510;Fontainebleau;Parcours autour de l'empereur et de ses proches;77;;6;Châteaux
11;Château de la Malmaison;48,8708235;2,1668378;Rueil-Malmaison;Résidence de Joséphine de Beauharnais;92;;6;Châteaux
12;Château de Monte-Cristo;48,8856010;2,1034687;Le Port-Marly;Demeure d'Alexandre Dumas;78;;6;Châteaux
14;Château d'Écouen - Musée National de la Renaissance;49,0173515;2,3780232;Écouen;Collections d'orfèvrerie, émaux et tapisseries de la Renaissance;95;;2;National
15;Château et Musée de Dourdan;48,5277200;2,0111300;Dourdan;Château médiéval et donjon du XIIIe – Peintures, faïences, poteries et mobilier;91;;6;Châteaux
16;Bibliothèque Nationale de France;48,8350258;2,3760157;Paris;Documents imprimés, estampes, photographies et monnaies;75;13;7;Institution culturellee
17;Bourse de Commerce - Pinault Collection;48,8628174;2,3428364;Paris;Art contemporain;75;1;3;Privé
18;Cabinet des Dessins Jean Bonna - Beaux-Arts de Paris;48,8534100;2,3488000;Paris;Présenter et regrouper plus de 20 000 œuvres,;75;6;7;Institution culturellee
19;Centre culturel canadien;48,8605226;2,3151335;Paris;Institut représentant la culture canadienne à Paris;75;8;7;Institution culturellee
20;Centre culturel de l'Ambassade d'Ukraine;48,8764325;2,3132913;Paris;Pour faire découvrir toute la culture ukrainienne;75;8;7;Institution culturellee
21;Centre culturel irlandais;48,8440243;2,3462964;Paris;Présenter et promouvoir en France la culture contemporaine irlandaise sous tous ses aspects;75;5;7;Institution culturellee
22;Centre des Arts d'Enghien-les-Bains;48,9723354;2,3053387;Enghien-les-Bains;Expositions d'art régulières, films et spectacles,;95;;7;Institution culturellee
23;Centre Pompidou;48,8605918;2,3524736;Paris;Musée national d'Art moderne, tout l'art du XXe siècle;75;4;2;National
24;Château d'Auvers-sur-Oise;49,0694973;2,1677660;Auvers-sur-Oise;Le château immortalisé par Van Gogh  reconstitue l'époque impressionniste;95;;6;Châteaux
26;Château de Rambouillet;48,6454127;1,8173244;Rambouillet;Le château de Rambouillet est un lieu de calme pour les princes et les souverains,;78;;6;Châteaux
27;Cinémathèque Française - Musée Méliès;48,8369987;2,3826352;Paris;Histoire du cinéma : documents, objets, affiches, costumes,,,;75;12;7;Institution culturellee
28;Cité de l'Architecture et du Patrimoine;48,8628901;2,2889810;Paris;Chefs d’œuvre et histoire de l’architecture française;75;16;7;Institution culturellee
46;Fondation Cartier;48,8372278;2,3316608;Paris;Expositions d'art contemporain;75;14;3;Privé
48;Fondation Dubuffet;48,6939621;2,5481283;Paris;Peintures, sculptures, dessins et estampes de l'artiste;75;7;3;Privé
49;Fondation Henri Cartier-Bresson;48,8632197;2,3598871;Paris;Tirages, planches, dessins, publications,,, du photographe;75;14;3;Privé
51;Fondation Louis Vuitton;48,8766500;2,2633381;Paris;Art contemporain;75;16;3;Privé
63;Galerie Alain Margaron;48,8606561;2,3614765;Paris;Galerie Humaniste;75;3;5;Galerie
65;Musée Cernuschi;48,8794305;2,3125641;Paris;Objets et œuvres d'art asiatique;75;17;1;Municipal 
66;Maison de Balzac;48,8552004;2,2808818;Paris;Appartement de l'écrivain : manuscrits, éditions originales,,,;75;16;1;Municipal 
67;Maison de Victor-Hugo;48,8547990;2,3661358;Paris;Appartement de l'écrivain : manuscrits, dessins, estampes,,,;75;4;1;Municipal 
68;Fondation de Coubertin;48,7020515;2,0600294;Saint-Rémy-les-Chevreuse;Peintures et Sculptures;78;;2;National
69;Musée du Chocolat;48,8705899;2,3500828;Paris;Tout le chocolat : histoire, démonstration et dégustation;75;10;3;Privé
70;Musée-Maison Édith Piaf;48,8534100;2,3488000;Paris;Objets personnels, faïences et robe noire de la chanteuse;75;11;3;Privé
71;Espace Dali;48,8864800;2,3399022;Paris;Sculptures et gravures du maître du surréalisme;75;18;3;Privé
72;Fondation Le Corbusier - Villa La Roche;48,8519070;2,2652250;Paris;Exemple d'architecture moderne, mobilier;75;16;3;Privé
73;Musée Grévin;48,8718365;2,3420974;Paris;Statues de cire de personnages célèbres;75;9;3;Privé
74;Musée de la Magie ;48,8531207;2,3611670;Paris;Automates, illusions, affiches, gravures et objets de magie;75;4;3;Privé
75;Musée Maillol;48,8547304;2,3248616;Paris;Peintures, sculptures et dessins de l'artiste;75;7;3;Privé
82;Galerie Daniel Templon;48,8619458;2,3542712;Paris;Galerie d'art contemporain;75;3;5;Galerie d'art 
86;Muséum national d'Histoire naturelle;48,8534100;2,3488000;Paris;Collections scientifiques naturalistes;75;5;2;National
