numLieu;numExpo;numEvr
23;1;9
23;1;10
23;1;11
23;1;12
23;1;13
23;1;14
24;1;52
24;1;53
24;1;54
24;1;55
24;1;56
27;1;27
27;1;28
27;1;29
27;1;30
28;5;46
28;5;47
28;5;48
28;5;49
28;5;50
28;5;51
63;1;15
63;1;16
63;1;17
63;1;18
63;1;19
63;1;20
180;1;8
194;1;15
194;1;16
194;1;17
194;1;18
194;1;19
194;1;20
212;1;21
212;1;22
212;1;23
212;1;24
212;1;25
212;1;26
219;1;52
219;1;53
219;1;54
219;1;55
219;1;56
219;2;52
219;2;53
219;2;54
219;2;55
219;2;56
221;1;32
221;1;33
221;1;34
223;1;1
223;1;2
223;1;3
223;1;4
223;1;5
223;1;6
223;1;7
224;2;31
229;1;35
229;1;36
229;1;37
229;1;38
231;1;41
231;1;42
231;2;41
231;2;42
